hotel_name,hotel_address,hotel_city,hotel_state,hotel_zipcode,hotel_phone
motel6 PORTLAND SOUTH - LAKE OSWEGO - TIGARD,17950 SW MCEWAN RD,TIGARD,OR,97224,5036202066
motel6 FT LAUDERDALE,1801 SR 84 WEST,FT LAUDERDALE,FL,33315,9547607999
motel6 CAMARILLO,1641 E DAILY DR,CAMARILLO,CA,93010,8053883467
motel6 IDAHO FALLS,1448 W BROADWAY ST,IDAHO FALLS,ID,83402,2085220112
motel6 BUELLTON - SOLVANG AREA,333 MCMURRAY RD,BUELLTON,CA,93427,8056887797
motel6 UKIAH,1208 S STATE ST,UKIAH,CA,95482,7074685404
motel6 LAS VEGAS - TROPICANA,195 E TROPICANA AVE,LAS VEGAS,NV,89109,7027980728
motel6 COCOA BEACH,3701 N ATLANTIC AVE,COCOA BEACH,FL,32931,3217833103
motel6 NOGALES,141 W MARIPOSA RD,NOGALES,AZ,85621,5202812951
motel6 PORTLAND CENTRAL,3104-06 SE POWELL BLVD,PORTLAND,OR,97202,5032380600
motel6 TUMWATER - OLYMPIA,400 LEE ST SW,TUMWATER,WA,98501,3607547320
motel6 ABILENE,4951 W STAMFORD ST,ABILENE,TX,79603,3256728462
motel6 MEDFORD SOUTH,950 ALBA DR,MEDFORD,OR,97504,5417734290
motel6 TACOMA - FIFE,5201 20TH ST E,FIFE,WA,98424,2539221270
motel6 SAN YSIDRO - SAN DIEGO - BORDER,160 E CALLE PRIMERA,SAN YSIDRO,CA,92173,6196906663
motel6 REDDING CENTRAL,1640 HILLTOP DR,REDDING,CA,96002,5302211800
motel6 BOISE - AIRPORT,2323 AIRPORT WAY,BOISE,ID,83705,2083443506
motel6 PALM DESERT - PALM SPRINGS AREA,78100 VARNER RD,PALM DESERT,CA,92211,7603450550
motel6 SAN JOSE SOUTH,2560 FONTAINE RD,SAN JOSE,CA,95121,4082703131
motel6 CHICO,665 MANZANITA CT,CHICO,CA,95926,5303455500
motel6 OGDEN,1455 WASHINGTON BLVD,OGDEN,UT,84404,8016274560
motel6 AUSTIN SOUTH - AIRPORT,2707 INTERREGIONAL HWY S,AUSTIN,TX,78741,5124445882
motel6 NORTH PLATTE,1520 S JEFFERS ST,NORTH PLATTE,NE,69101,3085346200
motel6 LAREDO SOUTH,5310 SAN BERNARDO AVE,LAREDO,TX,78041,9567258187
motel6 SAN LUIS OBISPO NORTH,1433 CALLE JOAQUIN,SAN LUIS OBISPO,CA,93405,8055499595
motel6 WESTMINSTER SOUTH - LONG BEACH AREA,6266 WESTMINSTER BLVD,WESTMINSTER,CA,92683,7148915366
motel6 SANTA FE,3007 CERRILLOS RD,SANTA FE,NM,87507,5054731380
motel6 PRESCOTT,1111 E SHELDON STREET,PRESCOTT,AZ,86301,9287760160
motel6 SIMI VALLEY,2566 N ERRINGER RD,SIMI VALLEY,CA,93065,8055263533
motel6 BISMARCK,2433 STATE ST,BISMARCK,ND,58503,7012556878
motel6 BILLINGS - SOUTH,5400 MIDLAND RD,BILLINGS,MT,59102,4062520093
motel6 CHARLESTON SOUTH SC,2058 SAVANNAH HWY,CHARLESTON,SC,29407,8435565144
motel6 SALT LAKE CITY WEST - AIRPORT,1990 WEST NORTH TEMPLE,SALT LAKE CITY,UT,84116,8013641053
motel6 LOS ANGELES - ROSEMEAD,1001 SAN GABRIEL BLVD,ROSEMEAD,CA,91770,6265726076
motel6 WOODLAND - SACRAMENTO AREA,1564 E MAIN ST,WOODLAND,CA,95776,5306666777
motel6 RENO WEST,1400 STARDUST ST,RENO,NV,89503,7757477390
motel6 OWENSBORO,4585 FREDERICA ST,OWENSBORO,KY,42301,2706868606
motel6 MCALLEN,700 W EXPRESSWAY 83,MCALLEN,TX,78501,9566873700
motel6 Ventura Beach,2145 E HARBOR BLVD,VENTURA,CA,93001,8056435100
motel6 KLAMATH FALLS,5136 S 6TH ST,KLAMATH FALLS,OR,97603,5418842110
motel6 CORPUS CHRISTI NORTHWEST,845 LANTANA ST,CORPUS CHRISTI,TX,78408,3612899397
motel6 VACAVILLE,107 LAWRENCE DR,VACAVILLE,CA,95687,7074475550
motel6 SOUTH LAKE TAHOE,2375 LAKE TAHOE BLVD,SOUTH LAKE TAHOE,CA,96150,5305421400
motel6 STANTON,7450 KATELLA AVE,STANTON,CA,90680,7148910717
motel6 SAN BERNARDINO SOUTH,111 W REDLANDS BLVD,SAN BERNARDINO,CA,92408,9098256666
motel6 FONTANA,10195 SIERRA AVE,FONTANA,CA,92335,9098238686
motel6 LOS ANGELES - WHITTIER,8221 S PIONEER BLVD,WHITTIER,CA,90606,5626929101
